data,S_mais,S_menos,n_categorias,ISM,recorte,ar,k
2013-01-01,0.025189698902324798,0.10061408770877404,211,-0.07542438880644925,sem_alimentacao,3,4
2013-02-01,0.04205401437883992,0.0722149908515093,211,-0.030160976472669382,sem_alimentacao,3,4
2013-03-01,0.04590755480486543,0.11412490254191857,211,-0.06821734773705314,sem_alimentacao,3,4
2013-04-01,0.0739995914263201,0.07714348630084288,211,-0.003143894874522782,sem_alimentacao,3,4
2013-05-01,0.056753443235266376,0.12321263247938175,211,-0.06645918924411537,sem_alimentacao,3,4
2013-06-01,0.04328020038408721,0.11188864127157834,211,-0.06860844088749113,sem_alimentacao,3,4
2013-07-01,0.06445203888649259,0.14519393476890408,211,-0.08074189588241149,sem_alimentacao,3,4
2013-08-01,0.04785412703567948,0.11833155477195749,211,-0.070477427736278,sem_alimentacao,3,4
2013-09-01,0.023476410995485662,0.11753836127418772,211,-0.09406195027870207,sem_alimentacao,3,4
2013-10-01,0.026797876184916462,0.07844110596174644,211,-0.05164322977682998,sem_alimentacao,3,4
2013-11-01,0.034028449841577074,0.0460248438970715,211,-0.011996394055494429,sem_alimentacao,3,4
2013-12-01,0.030636284932829005,0.08373140086626919,211,-0.053095115933440185,sem_alimentacao,3,4
2014-01-01,0.0359460186715694,0.050423576601021466,212,-0.014477557929452066,sem_alimentacao,3,4
2014-02-01,0.04202561472826974,0.027167055633024503,212,0.014858559095245236,sem_alimentacao,3,4
2014-03-01,0.12091342901932907,0.01572691559879787,212,0.1051865134205312,sem_alimentacao,3,4
2014-04-01,0.036841727078210325,0.03067815284386676,212,0.0061635742343435634,sem_alimentacao,3,4
2014-05-01,0.07327408102495475,0.043380900460920406,212,0.029893180564034345,sem_alimentacao,3,4
2014-06-01,0.08241597064439395,0.07163962580135898,212,0.010776344843034968,sem_alimentacao,3,4
2014-07-01,0.13927021173789597,0.07582870887403678,212,0.06344150286385919,sem_alimentacao,3,4
2014-08-01,0.11441909721159743,0.06680910903892641,212,0.04760998817267102,sem_alimentacao,3,4
2014-09-01,0.026558678204213513,0.02441033489975062,212,0.002148343304462893,sem_alimentacao,3,4
2014-10-01,0.06728250782432041,0.0206875829298191,212,0.04659492489450131,sem_alimentacao,3,4
2014-11-01,0.06753108943331596,0.012326734253162134,212,0.05520435518015382,sem_alimentacao,3,4
2014-12-01,0.05776519688476506,0.06591793495908992,212,-0.008152738074324858,sem_alimentacao,3,4
2015-01-01,0.06762749593363804,0.04701260605511602,212,0.020614889878522016,sem_alimentacao,3,4
2015-02-01,0.07886663706867933,0.0416171700324378,212,0.03724946703624153,sem_alimentacao,3,4
2015-03-01,0.10118856622458802,0.05751238561364874,212,0.04367618061093928,sem_alimentacao,3,4
2015-04-01,0.09483339144692189,0.02925863918381905,212,0.06557475226310285,sem_alimentacao,3,4
2015-05-01,0.1730603502817785,0.024789315460056183,212,0.1482710348217223,sem_alimentacao,3,4
2015-06-01,0.14958178122359858,0.016758113791276334,212,0.13282366743232224,sem_alimentacao,3,4
2015-07-01,0.17264111303048696,0.05593431732840669,212,0.11670679570208027,sem_alimentacao,3,4
2015-08-01,0.09798019823115584,0.026768810813190685,212,0.07121138741796515,sem_alimentacao,3,4
2015-09-01,0.09044830201960546,0.028331002523673605,212,0.06211729949593186,sem_alimentacao,3,4
2015-10-01,0.07970783826152045,0.038716491501923904,212,0.04099134675959654,sem_alimentacao,3,4
2015-11-01,0.07976078555658239,0.034358779052889775,212,0.04540200650369262,sem_alimentacao,3,4
2015-12-01,0.020826045508073796,0.0482064606404029,212,-0.0273804151323291,sem_alimentacao,3,4
2016-01-01,0.10428007757640607,0.06009228917274126,212,0.044187788403664816,sem_alimentacao,3,4
2016-02-01,0.12487267954700088,0.11723814930076078,212,0.007634530246240098,sem_alimentacao,3,4
2016-03-01,0.09500990875353788,0.12391983845240845,212,-0.028909929698870573,sem_alimentacao,3,4
2016-04-01,0.10226492423773222,0.16961484708866623,212,-0.06734992285093401,sem_alimentacao,3,4
2016-05-01,0.11635863445420648,0.19706554646779992,212,-0.08070691201359344,sem_alimentacao,3,4
2016-06-01,0.12075815195404159,0.09103757046147208,212,0.02972058149256951,sem_alimentacao,3,4
2016-07-01,0.04963787292877358,0.1472028991769103,212,-0.0975650262481367,sem_alimentacao,3,4
2016-08-01,0.10277705191926768,0.08832517137406595,212,0.014451880545201731,sem_alimentacao,3,4
2016-09-01,0.06567150039585602,0.06776378560166733,212,-0.0020922852058113117,sem_alimentacao,3,4
2016-10-01,0.04020510713523069,0.07908437017675218,212,-0.03887926304152149,sem_alimentacao,3,4
2016-11-01,0.10221769811386983,0.10769072919296419,212,-0.005473031079094359,sem_alimentacao,3,4
2016-12-01,0.12324168216058214,0.18237158701288547,212,-0.059129904852303336,sem_alimentacao,3,4
2017-01-01,0.054510794516856954,0.24536728301505503,212,-0.19085648849819808,sem_alimentacao,3,4
2017-02-01,0.05469544566085672,0.12322269774108334,212,-0.06852725208022661,sem_alimentacao,3,4
2017-03-01,0.06553318170643402,0.068240165186446,212,-0.0027069834800119846,sem_alimentacao,3,4
2017-04-01,0.06774244700608217,0.19023654087526307,212,-0.12249409386918089,sem_alimentacao,3,4
2017-05-01,0.03062437163779958,0.1604771447759969,212,-0.12985277313819732,sem_alimentacao,3,4
2017-06-01,0.01657490465703389,0.17492748563141214,212,-0.15835258097437824,sem_alimentacao,3,4
2017-07-01,0.02723715049659301,0.18770719325336507,212,-0.16047004275677207,sem_alimentacao,3,4
2017-08-01,0.018748126258083857,0.2236766028523705,212,-0.20492847659428665,sem_alimentacao,3,4
2017-09-01,0.01868859931467139,0.12970596976930468,212,-0.1110173704546333,sem_alimentacao,3,4
2017-10-01,0.07098521551506251,0.14310514091420634,212,-0.07211992539914383,sem_alimentacao,3,4
2017-11-01,0.08557702397033295,0.1626521306593668,212,-0.07707510668903383,sem_alimentacao,3,4
2017-12-01,0.14183280450209015,0.17674626968537854,212,-0.03491346518328839,sem_alimentacao,3,4
2018-01-01,0.13886697489164174,0.23871701685602573,212,-0.09985004196438399,sem_alimentacao,3,4
2018-02-01,0.06528482273270482,0.21036648519452927,212,-0.14508166246182447,sem_alimentacao,3,4
2018-03-01,0.05245228267998755,0.1976838632313288,212,-0.14523158055134125,sem_alimentacao,3,4
2018-04-01,0.052952922049959786,0.19313871108361036,212,-0.1401857890336506,sem_alimentacao,3,4
2018-05-01,0.05333031486107747,0.21414604374931326,213,-0.16081572888823578,sem_alimentacao,3,4
2018-06-01,0.08607139926573158,0.20609940416791295,213,-0.12002800490218136,sem_alimentacao,3,4
2018-07-01,0.08314934427360589,0.1874857364250572,213,-0.10433639215145131,sem_alimentacao,3,4
2018-08-01,0.029483586736890922,0.1537513663917321,213,-0.12426777965484118,sem_alimentacao,3,4
2018-09-01,0.020671458321473348,0.15101523682681067,213,-0.13034377850533732,sem_alimentacao,3,4
2018-10-01,0.031690220000079344,0.1769151326255212,213,-0.14522491262544185,sem_alimentacao,3,4
2018-11-01,0.03152946966249325,0.24294479663869104,213,-0.21141532697619778,sem_alimentacao,3,4
2018-12-01,0.08022846296490213,0.22305625549253547,213,-0.14282779252763333,sem_alimentacao,3,4
2019-01-01,0.06970369957625883,0.25549178653208837,213,-0.18578808695582955,sem_alimentacao,3,4
2019-02-01,0.013781882566875627,0.24310640017440036,213,-0.22932451760752473,sem_alimentacao,3,4
2019-03-01,0.015154741246233937,0.1494687589826575,213,-0.13431401773642354,sem_alimentacao,3,4
2019-04-01,0.01690523971757929,0.17585289587903113,213,-0.15894765616145184,sem_alimentacao,3,4
2019-05-01,0.025313130127705884,0.18652580256265272,213,-0.16121267243494683,sem_alimentacao,3,4
2019-06-01,0.07184027334270021,0.17714320688040192,213,-0.1053029335377017,sem_alimentacao,3,4
2019-07-01,0.017553492020233576,0.16631814042527734,213,-0.14876464840504378,sem_alimentacao,3,4
2019-08-01,0.023424929280098643,0.13865219626981584,213,-0.11522726698971719,sem_alimentacao,3,4
2019-09-01,0.026279549235680114,0.2018077803810853,213,-0.17552823114540517,sem_alimentacao,3,4
2019-10-01,0.013907181225305347,0.16448130295024102,213,-0.15057412172493567,sem_alimentacao,3,4
2019-11-01,0.01655200554294791,0.18412549530823374,213,-0.16757348976528583,sem_alimentacao,3,4
2019-12-01,0.020366687877823735,0.15620691483720436,213,-0.13584022695938064,sem_alimentacao,3,4
2020-01-01,0.005237367825897198,0.14788868609518518,209,-0.14265131826928798,sem_alimentacao,3,4
2020-02-01,0.0,0.15485861220783761,209,-0.15485861220783761,sem_alimentacao,3,4
2020-03-01,0.0,0.1724359419484758,209,-0.1724359419484758,sem_alimentacao,3,4
2020-04-01,0.0017354183215919107,0.2862806231096558,209,-0.2845452047880639,sem_alimentacao,3,4
2020-05-01,0.0069986167704401215,0.3099458828615733,209,-0.3029472660911332,sem_alimentacao,3,4
2020-06-01,0.007518834630691061,0.24351237704302553,209,-0.23599354241233447,sem_alimentacao,3,4
2020-07-01,0.010027465992994544,0.26037110387252976,209,-0.25034363787953523,sem_alimentacao,3,4
2020-08-01,0.025217472874519246,0.2701791688815234,209,-0.24496169600700413,sem_alimentacao,3,4
2020-09-01,0.11872207881991803,0.2163070337264686,209,-0.09758495490655056,sem_alimentacao,3,4
2020-10-01,0.060560710993512075,0.08577924944257134,209,-0.025218538449059268,sem_alimentacao,3,4
2020-11-01,0.050307874862707866,0.11257009622744532,209,-0.062262221364737455,sem_alimentacao,3,4
2020-12-01,0.10633587882932513,0.07594949533325736,209,0.030386383496067773,sem_alimentacao,3,4
2021-01-01,0.12983445375061958,0.09963452803663088,209,0.030199925713988704,sem_alimentacao,3,4
2021-02-01,0.09891821304445032,0.10252713359484564,209,-0.0036089205503953142,sem_alimentacao,3,4
2021-03-01,0.1075902006940076,0.10441947888552933,209,0.003170721808478272,sem_alimentacao,3,4
2021-04-01,0.04039472085535508,0.1396824312010206,209,-0.09928771034566553,sem_alimentacao,3,4
2021-05-01,0.04866769880080866,0.11904945762321364,209,-0.070381758822405,sem_alimentacao,3,4
2021-06-01,0.10535494110133858,0.08253779567886793,209,0.022817145422470653,sem_alimentacao,3,4
2021-07-01,0.16137119306185918,0.16214237853828745,209,-0.0007711854764282655,sem_alimentacao,3,4
2021-08-01,0.13657611777797143,0.09358781499178377,209,0.04298830278618766,sem_alimentacao,3,4
2021-09-01,0.1497503886146347,0.04965413613717686,209,0.10009625247745782,sem_alimentacao,3,4
2021-10-01,0.23613513376826986,0.03809108380114297,209,0.19804404996712688,sem_alimentacao,3,4
2021-11-01,0.2572190289342649,0.048528004510352454,209,0.20869102442391246,sem_alimentacao,3,4
2021-12-01,0.15024228355561048,0.05952244353967259,209,0.09071984001593789,sem_alimentacao,3,4
2022-01-01,0.1358630396835807,0.020530426096519994,209,0.11533261358706072,sem_alimentacao,3,4
2022-02-01,0.09604978628376262,0.09722573082869355,209,-0.001175944544930932,sem_alimentacao,3,4
2022-03-01,0.1474857609456805,0.09826780292592659,209,0.04921795801975391,sem_alimentacao,3,4
2022-04-01,0.11805924115087685,0.08562797266572512,209,0.032431268485151724,sem_alimentacao,3,4
2022-05-01,0.11849319330900816,0.048906065251267804,209,0.06958712805774037,sem_alimentacao,3,4
2022-06-01,0.14797316690924145,0.005266794177188824,209,0.1427063727320526,sem_alimentacao,3,4
2022-07-01,0.127781052759963,0.01700647430098893,209,0.11077457845897407,sem_alimentacao,3,4
2022-08-01,0.07902263428367774,0.042239847529313174,209,0.03678278675436457,sem_alimentacao,3,4
2022-09-01,0.14788146654314102,0.08988027905881629,209,0.05800118748432473,sem_alimentacao,3,4
2022-10-01,0.10956842223722711,0.1690925971395249,209,-0.05952417490229779,sem_alimentacao,3,4
2022-11-01,0.0990761303395624,0.12975622735738992,209,-0.03068009701782752,sem_alimentacao,3,4
2022-12-01,0.11931672758172343,0.13834116526920362,209,-0.01902443768748019,sem_alimentacao,3,4
2023-01-01,0.08574196652998121,0.03895279488479003,209,0.04678917164519118,sem_alimentacao,3,4
2023-02-01,0.12103752668957146,0.036930174448671534,209,0.08410735224089994,sem_alimentacao,3,4
2023-03-01,0.12115756859488294,0.043113680646500785,209,0.07804388794838216,sem_alimentacao,3,4
2023-04-01,0.13228453910659055,0.019354015878583045,209,0.1129305232280075,sem_alimentacao,3,4
2023-05-01,0.0878647582864382,0.06576333720741834,209,0.022101421079019856,sem_alimentacao,3,4
2023-06-01,0.06418334600333671,0.08634012071366982,209,-0.022156774710333116,sem_alimentacao,3,4
2023-07-01,0.05623656516468179,0.08073380943163644,209,-0.024497244266954647,sem_alimentacao,3,4
2023-08-01,0.039570929276054406,0.062208135154480974,209,-0.022637205878426568,sem_alimentacao,3,4
2023-09-01,0.039785007574173026,0.08777547489114107,209,-0.047990467316968044,sem_alimentacao,3,4
2023-10-01,0.059119846753952855,0.04138149035574072,209,0.017738356398212134,sem_alimentacao,3,4
2023-11-01,0.05724500584274665,0.07120815859895488,209,-0.013963152756208227,sem_alimentacao,3,4
2023-12-01,0.05735838260779302,0.04731867188716433,209,0.010039710720628689,sem_alimentacao,3,4
2024-01-01,0.05812477893719978,0.09898035377654496,209,-0.04085557483934518,sem_alimentacao,3,4
2024-02-01,0.040241272245939076,0.06957547319684454,209,-0.029334200950905463,sem_alimentacao,3,4
2024-03-01,0.010655163514360504,0.09506246766009763,209,-0.08440730414573712,sem_alimentacao,3,4
2024-04-01,0.059025643570782285,0.01912419144043542,209,0.03990145213034686,sem_alimentacao,3,4
2024-05-01,0.08565606133937897,0.01627862546806939,209,0.06937743587130958,sem_alimentacao,3,4
2024-06-01,0.022574047999796124,0.04303671659477953,209,-0.020462668594983403,sem_alimentacao,3,4
2024-07-01,0.05979002343556749,0.15555071033485574,209,-0.09576068689928824,sem_alimentacao,3,4
2024-08-01,0.013779647582464485,0.080348251122899,209,-0.06656860354043452,sem_alimentacao,3,4
2024-09-01,0.012964866202276274,0.05593874107063555,209,-0.04297387486835928,sem_alimentacao,3,4
2024-10-01,0.044240386897170476,0.05568562955179674,209,-0.011445242654626264,sem_alimentacao,3,4
2024-11-01,0.02562457112359265,0.12670724578748063,209,-0.10108267466388798,sem_alimentacao,3,4
2024-12-01,0.053979326090198815,0.04655135270189823,209,0.007427973388300584,sem_alimentacao,3,4
2025-01-01,0.05904287584203301,0.06784407623790824,209,-0.00880120039587523,sem_alimentacao,3,4
2025-02-01,0.040063737473282734,0.08899952644849168,209,-0.04893578897520895,sem_alimentacao,3,4
